build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|vision.soft-peek",26,0.005%,100%,10,21214125,1,"clean-hands + opening-tell + opening-tell + false-read"
"core.clean-hands|core.opening-tell|core.opening-tell|vision.dealer-glance|vision.soft-peek",18,0.004%,100%,10,16118916.667,1,"clean-hands + opening-tell + opening-tell + dealer-glance"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.dealer-glance|vision.soft-peek",18,0.004%,100%,10,18294361.111,1,"opening-tell + opening-tell + soft-footsteps + dealer-glance"
"core.opening-tell|heat.soft-footsteps|player.side-step|vision.pattern-memory|vision.soft-peek",18,0.004%,100%,10,17848148.611,1,"opening-tell + soft-footsteps + side-step + pattern-memory"
"core.opening-tell|heat.soft-footsteps|tie.split-signal|tie.tie-whisperer|vision.soft-peek",16,0.003%,100%,10,14303539.063,1,"opening-tell + soft-footsteps + split-signal + tie-whisperer"
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|tie.tie-whisperer",14,0.003%,100%,10,17814419.643,1,"clean-hands + opening-tell + opening-tell + false-read"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.dealer-glance",13,0.003%,100%,10,14103336.538,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"banker.dealers-nod|core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.soft-peek",12,0.002%,100%,10,11040947.917,1,"dealers-nod + clean-hands + opening-tell + tie-whisperer"
"core.lucky-chip|core.opening-tell|heat.soft-footsteps|vision.dealer-glance|vision.pattern-memory",11,0.002%,100%,10,15326011.364,1,"lucky-chip + opening-tell + soft-footsteps + dealer-glance"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|player.side-step|vision.soft-peek",11,0.002%,100%,10,20056897.727,1,"opening-tell + opening-tell + soft-footsteps + side-step"
"core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.pattern-memory|vision.soft-peek",11,0.002%,100%,10,16247954.545,1,"clean-hands + opening-tell + tie-whisperer + pattern-memory"
"core.clean-hands|core.opening-tell|tie.split-signal|tie.tie-whisperer|vision.soft-peek",11,0.002%,100%,10,21799204.545,1,"clean-hands + opening-tell + split-signal + tie-whisperer"
"core.clean-hands|core.opening-tell|core.player-surge|player.countertrend|vision.soft-peek",10,0.002%,100%,10,16474537.5,1,"clean-hands + opening-tell + player-surge + countertrend"
"core.clean-hands|core.opening-tell|core.player-surge|player.punto-strike|vision.soft-peek",10,0.002%,100%,10,15287125,1,"clean-hands + opening-tell + player-surge + punto-strike"
"core.clean-hands|core.lucky-chip|core.opening-tell|core.opening-tell|vision.dealer-glance",9,0.002%,100%,10,17189680.556,1,"clean-hands + lucky-chip + opening-tell + opening-tell"
"core.opening-tell|heat.soft-footsteps|tie.equalizer|tie.tie-whisperer|vision.dealer-glance",9,0.002%,100%,10,15331652.778,1,"opening-tell + soft-footsteps + equalizer + tie-whisperer"
"core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.dealer-glance|vision.pattern-memory",9,0.002%,100%,10,18567361.111,1,"clean-hands + opening-tell + tie-whisperer + dealer-glance"
"core.lucky-chip|core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps",9,0.002%,100%,10,19999458.333,1,"lucky-chip + opening-tell + opening-tell + false-read"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|player.countertrend|tie.tie-whisperer",9,0.002%,100%,10,11907972.222,1,"clean-hands + opening-tell + soft-footsteps + countertrend"
"core.clean-hands|core.lucky-chip|core.opening-tell|core.player-surge|tie.tie-whisperer",9,0.002%,100%,10,20617847.222,1,"clean-hands + lucky-chip + opening-tell + player-surge"
"core.clean-hands|core.lucky-chip|core.opening-tell|core.opening-tell|vision.soft-peek",9,0.002%,100%,10,18892888.889,1,"clean-hands + lucky-chip + opening-tell + opening-tell"
"core.clean-hands|core.opening-tell|player.side-step|tie.tie-whisperer|vision.pattern-memory",9,0.002%,100%,10,15760833.333,1,"clean-hands + opening-tell + side-step + tie-whisperer"
"core.opening-tell|counter.false-read|economy.interest-ledger|heat.soft-footsteps|vision.soft-peek",9,0.002%,100%,10,18993451.333,1,"opening-tell + false-read + interest-ledger + soft-footsteps"
"core.clean-hands|core.opening-tell|counter.false-read|debt.last-dollar|vision.dealer-glance",8,0.002%,100%,10,17765500,1,"clean-hands + opening-tell + false-read + last-dollar"
"banker.banco-battery|core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.soft-peek",8,0.002%,100%,10,14141437.5,1,"banco-battery + opening-tell + soft-footsteps + tie-whisperer"
"banker.banco-battery|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.soft-peek",8,0.002%,100%,10,15082156.25,1,"banco-battery + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|player.side-step|vision.soft-peek",8,0.002%,100%,10,19636199.125,1,"clean-hands + opening-tell + opening-tell + side-step"
"core.lucky-chip|core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.soft-peek",8,0.002%,100%,10,21407296.875,1,"lucky-chip + opening-tell + opening-tell + soft-footsteps"
"banker.banco-battery|core.clean-hands|core.opening-tell|counter.false-read|vision.dealer-glance",8,0.002%,100%,10,13530218.75,1,"banco-battery + clean-hands + opening-tell + false-read"
"banker.dealers-nod|core.clean-hands|core.opening-tell|heat.soft-footsteps|vision.soft-peek",8,0.002%,100%,10,16556312.5,1,"dealers-nod + clean-hands + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|vision.dealer-glance|vision.pattern-memory|vision.soft-peek",8,0.002%,100%,10,14114093.75,1,"clean-hands + opening-tell + dealer-glance + pattern-memory"
"core.opening-tell|counter.false-read|heat.soft-footsteps|player.side-step|tie.split-signal",8,0.002%,100%,10,15872250,1,"opening-tell + false-read + soft-footsteps + side-step"
"core.opening-tell|heat.soft-footsteps|player.side-step|tie.split-signal|tie.tie-whisperer",8,0.002%,100%,10,19190750,1,"opening-tell + soft-footsteps + side-step + split-signal"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|player.side-step|tie.tie-whisperer",7,0.001%,100%,10,14033607.143,1,"opening-tell + opening-tell + soft-footsteps + side-step"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|player.punto-strike|player.side-step",7,0.001%,100%,10,12427625,1,"clean-hands + opening-tell + soft-footsteps + punto-strike"
"core.clean-hands|core.opening-tell|core.opening-tell|vision.pattern-memory|vision.soft-peek",7,0.001%,100%,10,25048482.143,1,"clean-hands + opening-tell + opening-tell + pattern-memory"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.soft-peek",7,0.001%,100%,10,14309571.429,1,"opening-tell + opening-tell + soft-footsteps + tie-whisperer"
"core.clean-hands|core.lucky-chip|core.opening-tell|tie.tie-whisperer|vision.pattern-memory",7,0.001%,100%,10,16913053.571,1,"clean-hands + lucky-chip + opening-tell + tie-whisperer"
"core.clean-hands|core.lucky-chip|core.opening-tell|core.opening-tell|counter.false-read",7,0.001%,100%,10,19302589.286,1,"clean-hands + lucky-chip + opening-tell + opening-tell"
"core.opening-tell|heat.soft-footsteps|tie.equalizer|vision.pattern-memory|vision.soft-peek",7,0.001%,100%,10,15141357.143,1,"opening-tell + soft-footsteps + equalizer + pattern-memory"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|tie.tie-whisperer",7,0.001%,100%,10,19354535.714,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.opening-tell|heat.soft-footsteps|player.punto-strike|vision.dealer-glance|vision.soft-peek",7,0.001%,100%,10,14703714.286,1,"opening-tell + soft-footsteps + punto-strike + dealer-glance"
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps",7,0.001%,100%,10,15877982.143,1,"clean-hands + opening-tell + opening-tell + false-read"
"banker.dealers-nod|core.clean-hands|core.opening-tell|player.side-step|vision.dealer-glance",7,0.001%,100%,10,12959982.143,1,"dealers-nod + clean-hands + opening-tell + side-step"
"core.opening-tell|counter.false-read|heat.soft-footsteps|tie.tie-whisperer|vision.banker-forecast",7,0.001%,100%,10,15523473.143,1,"opening-tell + false-read + soft-footsteps + tie-whisperer"
"core.clean-hands|core.opening-tell|core.opening-tell|tie.tie-whisperer|vision.dealer-glance",7,0.001%,100%,10,23142214.286,1,"clean-hands + opening-tell + opening-tell + tie-whisperer"
"core.opening-tell|heat.soft-footsteps|player.side-step|tie.equalizer|vision.soft-peek",7,0.001%,100%,10,18043839.286,1,"opening-tell + soft-footsteps + side-step + equalizer"
"core.clean-hands|core.opening-tell|counter.false-read|vision.banker-forecast|vision.soft-peek",7,0.001%,100%,10,16715303.571,1,"clean-hands + opening-tell + false-read + banker-forecast"
"core.clean-hands|core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.soft-peek",6,0.001%,100%,10,17784270.833,1,"clean-hands + opening-tell + opening-tell + soft-footsteps"
"core.opening-tell|core.player-surge|heat.soft-footsteps|tie.split-signal|tie.tie-whisperer",6,0.001%,100%,10,14261854.167,1,"opening-tell + player-surge + soft-footsteps + split-signal"
"core.opening-tell|heat.low-profile|heat.soft-footsteps|tie.tie-whisperer|vision.soft-peek",6,0.001%,100%,10,17183854.167,1,"opening-tell + low-profile + soft-footsteps + tie-whisperer"
"banker.dealers-nod|core.clean-hands|core.opening-tell|heat.soft-footsteps|player.side-step",6,0.001%,100%,10,14441125,1,"dealers-nod + clean-hands + opening-tell + soft-footsteps"
"core.opening-tell|counter.false-read|heat.soft-footsteps|tie.equalizer|tie.tie-whisperer",6,0.001%,100%,10,17378000,1,"opening-tell + false-read + soft-footsteps + equalizer"
"bet.small-ball|core.lucky-chip|core.opening-tell|heat.soft-footsteps|vision.soft-peek",6,0.001%,100%,10,15894250,1,"small-ball + lucky-chip + opening-tell + soft-footsteps"
"core.opening-tell|core.player-surge|heat.soft-footsteps|player.punto-strike|tie.tie-whisperer",6,0.001%,100%,10,17637395.833,1,"opening-tell + player-surge + soft-footsteps + punto-strike"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|tie.split-signal|tie.tie-whisperer",6,0.001%,100%,10,21134000,1,"opening-tell + opening-tell + soft-footsteps + split-signal"
"core.clean-hands|core.opening-tell|counter.false-read|economy.interest-ledger|vision.dealer-glance",6,0.001%,100%,10,13066562.5,1,"clean-hands + opening-tell + false-read + interest-ledger"
"core.clean-hands|core.opening-tell|player.punto-strike|player.side-step|tie.tie-whisperer",6,0.001%,100%,10,14843479.167,1,"clean-hands + opening-tell + punto-strike + side-step"
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|player.side-step",6,0.001%,100%,10,21693479.167,1,"clean-hands + opening-tell + opening-tell + false-read"
"core.clean-hands|core.opening-tell|core.opening-tell|core.player-surge|player.side-step",6,0.001%,100%,10,16660395.833,1,"clean-hands + opening-tell + opening-tell + player-surge"
"core.lucky-chip|core.opening-tell|heat.soft-footsteps|tie.equalizer|vision.pattern-memory",6,0.001%,100%,10,23286437.5,1,"lucky-chip + opening-tell + soft-footsteps + equalizer"
"core.opening-tell|counter.false-read|heat.soft-footsteps|tie.equalizer|vision.pattern-memory",6,0.001%,100%,10,12175187.5,1,"opening-tell + false-read + soft-footsteps + equalizer"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|tie.split-signal",6,0.001%,100%,10,15115375,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|player.side-step",6,0.001%,100%,10,16997479.167,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.opening-tell|heat.soft-footsteps|player.countertrend|player.side-step|vision.pattern-memory",6,0.001%,100%,10,16625125,1,"opening-tell + soft-footsteps + countertrend + side-step"
"core.lucky-chip|core.opening-tell|heat.soft-footsteps|tie.split-signal|vision.soft-peek",6,0.001%,100%,10,23445437.5,1,"lucky-chip + opening-tell + soft-footsteps + split-signal"
"core.opening-tell|counter.false-read|heat.soft-footsteps|player.side-step|vision.pattern-memory",6,0.001%,100%,10,30240041.667,1,"opening-tell + false-read + soft-footsteps + side-step"
"control.slipstream|core.clean-hands|core.opening-tell|counter.false-read|vision.soft-peek",6,0.001%,100%,10,14702520.833,1,"slipstream + clean-hands + opening-tell + false-read"
"core.clean-hands|core.opening-tell|core.opening-tell|core.player-surge|vision.soft-peek",6,0.001%,100%,10,17465145.833,1,"clean-hands + opening-tell + opening-tell + player-surge"
"core.opening-tell|core.player-surge|heat.soft-footsteps|tie.split-signal|vision.dealer-glance",6,0.001%,100%,10,20271333.333,1,"opening-tell + player-surge + soft-footsteps + split-signal"
"core.lucky-chip|core.opening-tell|economy.comp-points|heat.soft-footsteps|vision.soft-peek",6,0.001%,100%,10,21379770.833,1,"lucky-chip + opening-tell + comp-points + soft-footsteps"
"core.clean-hands|core.lucky-chip|core.opening-tell|core.opening-tell|player.side-step",6,0.001%,100%,10,15426145.833,1,"clean-hands + lucky-chip + opening-tell + opening-tell"
"boss.countermeasure|core.clean-hands|core.opening-tell|counter.false-read|vision.soft-peek",5,0.001%,100%,10,14313350,1,"countermeasure + clean-hands + opening-tell + false-read"
"core.clean-hands|core.opening-tell|heat.low-profile|tie.tie-whisperer|vision.dealer-glance",5,0.001%,100%,10,16878475,1,"clean-hands + opening-tell + low-profile + tie-whisperer"
"banker.banco-battery|core.opening-tell|counter.false-read|heat.soft-footsteps|tie.tie-whisperer",5,0.001%,100%,10,18074225,1,"banco-battery + opening-tell + false-read + soft-footsteps"
"bet.flat-better|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.soft-peek",5,0.001%,100%,10,11063400,1,"flat-better + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|tie.tie-whisperer|vision.pattern-memory",5,0.001%,100%,10,13823875,1,"clean-hands + opening-tell + opening-tell + tie-whisperer"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|tie.equalizer",5,0.001%,100%,10,15036925,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.opening-tell|counter.false-read|heat.soft-footsteps|vision.dealer-glance|vision.tie-forecast",5,0.001%,100%,10,20386450,1,"opening-tell + false-read + soft-footsteps + dealer-glance"
"banker.banco-battery|core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.soft-peek",5,0.001%,100%,10,14778925,1,"banco-battery + clean-hands + opening-tell + tie-whisperer"
"banker.dealers-nod|core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read",5,0.001%,100%,10,17386275,1,"dealers-nod + clean-hands + opening-tell + opening-tell"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|player.side-step|vision.pattern-memory",5,0.001%,100%,10,18852375,1,"clean-hands + opening-tell + soft-footsteps + side-step"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.pattern-memory|vision.soft-peek",5,0.001%,100%,10,15676450,1,"opening-tell + opening-tell + soft-footsteps + pattern-memory"
"core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.dealer-glance|vision.soft-peek",5,0.001%,100%,10,16577125,1,"opening-tell + soft-footsteps + banker-forecast + dealer-glance"
"core.opening-tell|counter.false-read|heat.low-profile|tie.tie-whisperer|vision.soft-peek",5,0.001%,100%,10,24522175,1,"opening-tell + false-read + low-profile + tie-whisperer"
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|player.countertrend",5,0.001%,100%,10,19884525,1,"clean-hands + opening-tell + opening-tell + false-read"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.pattern-memory",5,0.001%,100%,10,19287650,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|player.side-step|tie.tie-whisperer",5,0.001%,100%,10,18135050,1,"clean-hands + opening-tell + opening-tell + side-step"
"banker.banco-battery|core.opening-tell|counter.false-read|heat.soft-footsteps|player.side-step",5,0.001%,100%,10,21872300,1,"banco-battery + opening-tell + false-read + soft-footsteps"
"core.lucky-chip|core.opening-tell|economy.interest-ledger|heat.soft-footsteps|tie.split-signal",5,0.001%,100%,10,16140625,1,"lucky-chip + opening-tell + interest-ledger + soft-footsteps"
"core.opening-tell|counter.false-read|debt.last-dollar|heat.soft-footsteps|vision.dealer-glance",5,0.001%,100%,10,15008262.4,1,"opening-tell + false-read + last-dollar + soft-footsteps"
"core.opening-tell|core.player-surge|counter.false-read|economy.interest-ledger|heat.soft-footsteps",5,0.001%,100%,10,13533900,1,"opening-tell + player-surge + false-read + interest-ledger"
"core.opening-tell|core.opening-tell|counter.false-read|heat.soft-footsteps|pair.pair-hunter",5,0.001%,100%,10,18458150,1,"opening-tell + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|player.countertrend|player.side-step|vision.pattern-memory",5,0.001%,100%,10,16681450,1,"clean-hands + opening-tell + countertrend + side-step"
"core.clean-hands|core.opening-tell|core.opening-tell|core.tie-insurance|counter.false-read",5,0.001%,100%,10,13971200,1,"clean-hands + opening-tell + opening-tell + tie-insurance"
"banker.house-favorite|core.clean-hands|core.lucky-chip|core.opening-tell|counter.false-read",5,0.001%,100%,10,13798400,1,"house-favorite + clean-hands + lucky-chip + opening-tell"
"core.opening-tell|core.opening-tell|core.player-surge|heat.soft-footsteps|player.side-step",5,0.001%,100%,10,17536625,1,"opening-tell + opening-tell + player-surge + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|player.countertrend|vision.soft-peek",5,0.001%,100%,10,18260475,1,"clean-hands + opening-tell + opening-tell + countertrend"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.soft-peek",5,0.001%,100%,10,17233975,1,"clean-hands + opening-tell + soft-footsteps + banker-forecast"
