build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.clean-hands|core.lucky-chip|core.opening-tell|counter.false-read|tie.split-signal",5,0.001%,100%,10,17751325,1,"clean-hands + lucky-chip + opening-tell + false-read"
"core.clean-hands|core.opening-tell|player.punto-strike|tie.tie-whisperer|vision.soft-peek",5,0.001%,100%,10,15619225,1,"clean-hands + opening-tell + punto-strike + tie-whisperer"
"core.clean-hands|core.opening-tell|core.tie-insurance|tie.mirror-bet|vision.soft-peek",5,0.001%,100%,10,17638730,1,"clean-hands + opening-tell + tie-insurance + mirror-bet"
"core.clean-hands|core.opening-tell|tie.tie-whisperer|vision.dealer-glance|vision.deep-read",5,0.001%,100%,10,18102875,1,"clean-hands + opening-tell + tie-whisperer + dealer-glance"
"banker.dealers-nod|core.lucky-chip|core.opening-tell|core.opening-tell|heat.soft-footsteps",5,0.001%,100%,10,26019400,1,"dealers-nod + lucky-chip + opening-tell + opening-tell"
"core.opening-tell|counter.false-read|heat.soft-footsteps|player.punto-strike|vision.dealer-glance",5,0.001%,100%,10,23644975,1,"opening-tell + false-read + soft-footsteps + punto-strike"
"core.opening-tell|core.player-surge|heat.soft-footsteps|tie.equalizer|vision.soft-peek",5,0.001%,100%,10,14406850,1,"opening-tell + player-surge + soft-footsteps + equalizer"
"core.opening-tell|core.opening-tell|core.player-surge|heat.soft-footsteps|vision.dealer-glance",5,0.001%,100%,10,33853925,1,"opening-tell + opening-tell + player-surge + soft-footsteps"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|loaded.marked-nine|tie.tie-whisperer",4,0.001%,100%,10,9504343.75,1,"clean-hands + opening-tell + soft-footsteps + marked-nine"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|natural.natural-read|tie.tie-whisperer",4,0.001%,100%,10,11216375,1,"clean-hands + opening-tell + soft-footsteps + natural-read"
"core.clean-hands|core.opening-tell|counter.false-read|counter.reverse-count|vision.soft-peek",4,0.001%,100%,10,13960343.75,1,"clean-hands + opening-tell + false-read + reverse-count"
"banker.dealers-nod|core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.soft-peek",4,0.001%,100%,10,31707343.75,1,"dealers-nod + opening-tell + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.pattern-memory",4,0.001%,100%,10,24273625,1,"clean-hands + opening-tell + soft-footsteps + tie-whisperer"
"banker.dealers-nod|core.opening-tell|heat.soft-footsteps|player.side-step|vision.dealer-glance",4,0.001%,100%,10,16603031.25,1,"dealers-nod + opening-tell + soft-footsteps + side-step"
"core.opening-tell|heat.soft-footsteps|player.countertrend|player.side-step|tie.equalizer",4,0.001%,100%,10,22842687.5,1,"opening-tell + soft-footsteps + countertrend + side-step"
"core.clean-hands|core.opening-tell|player.countertrend|tie.split-signal|vision.soft-peek",4,0.001%,100%,10,12923218.75,1,"clean-hands + opening-tell + countertrend + split-signal"
"core.clean-hands|core.opening-tell|counter.false-read|tie.split-signal|vision.pattern-memory",4,0.001%,100%,10,22954968.75,1,"clean-hands + opening-tell + false-read + split-signal"
"core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.soft-peek|vision.tie-forecast",4,0.001%,100%,10,13704843.75,1,"opening-tell + soft-footsteps + tie-whisperer + soft-peek"
"core.clean-hands|core.opening-tell|counter.countertrend-plus|counter.false-read|vision.soft-peek",4,0.001%,100%,10,15996531.25,1,"clean-hands + opening-tell + countertrend-plus + false-read"
"core.clean-hands|core.lucky-chip|core.opening-tell|core.opening-tell|tie.tie-whisperer",4,0.001%,100%,10,29352156.25,1,"clean-hands + lucky-chip + opening-tell + opening-tell"
"banker.dealers-nod|core.clean-hands|core.opening-tell|core.tie-insurance|tie.tie-whisperer",4,0.001%,100%,10,19506000,1,"dealers-nod + clean-hands + opening-tell + tie-insurance"
"core.clean-hands|core.lucky-chip|core.opening-tell|player.side-step|vision.banker-forecast",4,0.001%,100%,10,12669187.5,1,"clean-hands + lucky-chip + opening-tell + side-step"
"core.clean-hands|core.opening-tell|counter.countertrend-plus|counter.false-read|player.side-step",4,0.001%,100%,10,17756406.25,1,"clean-hands + opening-tell + countertrend-plus + false-read"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|player.punto-strike|player.side-step",4,0.001%,100%,10,17627156.25,1,"opening-tell + opening-tell + soft-footsteps + punto-strike"
"banker.banco-battery|core.clean-hands|core.opening-tell|vision.dealer-glance|vision.soft-peek",4,0.001%,100%,10,14292843.75,1,"banco-battery + clean-hands + opening-tell + dealer-glance"
"core.opening-tell|heat.soft-footsteps|tie.mirror-bet|vision.dealer-glance|vision.soft-peek",4,0.001%,100%,10,22563137.5,1,"opening-tell + soft-footsteps + mirror-bet + dealer-glance"
"core.clean-hands|core.opening-tell|counter.false-read|player.side-step|tie.equalizer",4,0.001%,100%,10,13789812.5,1,"clean-hands + opening-tell + false-read + side-step"
"core.opening-tell|core.player-surge|counter.false-read|heat.soft-footsteps|tie.split-signal",4,0.001%,100%,10,18121906.25,1,"opening-tell + player-surge + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|tie.split-signal",4,0.001%,100%,10,22497875,1,"clean-hands + opening-tell + opening-tell + false-read"
"bet.small-ball|core.clean-hands|core.opening-tell|player.side-step|vision.soft-peek",4,0.001%,100%,10,16249875,1,"small-ball + clean-hands + opening-tell + side-step"
"core.clean-hands|core.opening-tell|core.opening-tell|vision.banker-forecast|vision.soft-peek",4,0.001%,100%,10,17037156.25,1,"clean-hands + opening-tell + opening-tell + banker-forecast"
"core.clean-hands|core.opening-tell|counter.false-read|player.punto-strike|tie.tie-whisperer",4,0.001%,100%,10,29858250,1,"clean-hands + opening-tell + false-read + punto-strike"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|tie.equalizer|vision.soft-peek",4,0.001%,100%,10,15858343.75,1,"opening-tell + opening-tell + soft-footsteps + equalizer"
"core.clean-hands|core.opening-tell|vision.banker-forecast|vision.dealer-glance|vision.soft-peek",4,0.001%,100%,10,12165156.25,1,"clean-hands + opening-tell + banker-forecast + dealer-glance"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.banker-forecast",4,0.001%,100%,10,22900250,1,"opening-tell + opening-tell + soft-footsteps + tie-whisperer"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.soft-peek",4,0.001%,100%,10,15629656.25,1,"opening-tell + opening-tell + soft-footsteps + banker-forecast"
"banker.dealers-nod|core.clean-hands|core.opening-tell|core.player-surge|vision.dealer-glance",4,0.001%,100%,10,18372218.75,1,"dealers-nod + clean-hands + opening-tell + player-surge"
"banker.dealers-nod|core.clean-hands|core.opening-tell|counter.false-read|tie.tie-whisperer",4,0.001%,100%,10,12932656.25,1,"dealers-nod + clean-hands + opening-tell + false-read"
"core.clean-hands|core.opening-tell|counter.false-read|tie.equalizer|tie.mirror-bet",4,0.001%,100%,10,16391968.75,1,"clean-hands + opening-tell + false-read + equalizer"
"banker.house-favorite|core.lucky-chip|core.opening-tell|heat.soft-footsteps|tie.equalizer",4,0.001%,100%,10,15099781.25,1,"house-favorite + lucky-chip + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|player.countertrend|tie.equalizer|vision.dealer-glance",4,0.001%,100%,10,14178500,1,"clean-hands + opening-tell + countertrend + equalizer"
"core.clean-hands|core.opening-tell|player.side-step|vision.dealer-glance|vision.deep-read",4,0.001%,100%,10,17987656.25,1,"clean-hands + opening-tell + side-step + dealer-glance"
"core.clean-hands|core.lucky-chip|core.opening-tell|tie.equalizer|vision.dealer-glance",4,0.001%,100%,10,13322843.75,1,"clean-hands + lucky-chip + opening-tell + equalizer"
"core.clean-hands|core.opening-tell|tie.equalizer|tie.tie-whisperer|vision.pattern-memory",4,0.001%,100%,10,19532062.5,1,"clean-hands + opening-tell + equalizer + tie-whisperer"
"core.opening-tell|counter.false-read|heat.soft-footsteps|vision.dealer-glance|vision.deep-read",4,0.001%,100%,10,11996500,1,"opening-tell + false-read + soft-footsteps + dealer-glance"
"banker.dealers-nod|core.clean-hands|core.opening-tell|heat.soft-footsteps|vision.dealer-glance",4,0.001%,100%,10,16125281.25,1,"dealers-nod + clean-hands + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|vision.banker-forecast|vision.pattern-memory|vision.soft-peek",4,0.001%,100%,10,16604250,1,"clean-hands + opening-tell + banker-forecast + pattern-memory"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.dealer-glance",4,0.001%,100%,10,15616593.75,1,"opening-tell + opening-tell + soft-footsteps + banker-forecast"
"core.clean-hands|core.opening-tell|core.opening-tell|economy.interest-ledger|vision.dealer-glance",4,0.001%,100%,10,14810906.25,1,"clean-hands + opening-tell + opening-tell + interest-ledger"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|vision.dealer-glance|vision.deep-read",4,0.001%,100%,10,17001437.5,1,"clean-hands + opening-tell + soft-footsteps + dealer-glance"
"banker.dealers-nod|core.opening-tell|counter.false-read|heat.soft-footsteps|player.punto-strike",4,0.001%,100%,10,13662875,1,"dealers-nod + opening-tell + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.player-surge|tie.equalizer|tie.tie-whisperer",4,0.001%,100%,10,13805812.5,1,"clean-hands + opening-tell + player-surge + equalizer"
"core.opening-tell|core.opening-tell|core.tie-insurance|counter.false-read|heat.soft-footsteps",4,0.001%,100%,10,31853875,1,"opening-tell + opening-tell + tie-insurance + false-read"
"core.opening-tell|heat.low-profile|heat.soft-footsteps|vision.dealer-glance|vision.soft-peek",4,0.001%,100%,10,28307062.5,1,"opening-tell + low-profile + soft-footsteps + dealer-glance"
"core.opening-tell|core.tie-insurance|heat.soft-footsteps|tie.split-signal|vision.soft-peek",4,0.001%,100%,10,13631187.5,1,"opening-tell + tie-insurance + soft-footsteps + split-signal"
"core.opening-tell|counter.false-read|heat.low-profile|heat.soft-footsteps|vision.soft-peek",4,0.001%,100%,10,15009718.75,1,"opening-tell + false-read + low-profile + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|vision.dealer-glance|vision.pattern-memory",4,0.001%,100%,10,17085437.5,1,"clean-hands + opening-tell + opening-tell + dealer-glance"
"core.clean-hands|core.opening-tell|core.opening-tell|player.side-step|vision.dealer-glance",4,0.001%,100%,10,20514406.25,1,"clean-hands + opening-tell + opening-tell + side-step"
"core.clean-hands|core.opening-tell|counter.false-read|tie.equalizer|tie.split-signal",4,0.001%,100%,10,12556437.5,1,"clean-hands + opening-tell + false-read + equalizer"
"core.opening-tell|counter.false-read|heat.soft-footsteps|player.reversal-read|vision.soft-peek",4,0.001%,100%,10,34331993.75,1,"opening-tell + false-read + soft-footsteps + reversal-read"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|tie.split-signal|vision.soft-peek",4,0.001%,100%,10,24552625,1,"opening-tell + opening-tell + soft-footsteps + split-signal"
"bet.small-ball|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.soft-peek",4,0.001%,100%,10,20265281.25,1,"small-ball + opening-tell + false-read + soft-footsteps"
"core.opening-tell|counter.false-read|heat.soft-footsteps|player.punto-strike|vision.soft-peek",4,0.001%,100%,10,22082812.5,1,"opening-tell + false-read + soft-footsteps + punto-strike"
"core.opening-tell|core.opening-tell|core.tie-insurance|heat.soft-footsteps|vision.soft-peek",4,0.001%,100%,10,22386687.5,1,"opening-tell + opening-tell + tie-insurance + soft-footsteps"
"core.lucky-chip|core.opening-tell|heat.soft-footsteps|tie.split-signal|tie.tie-whisperer",4,0.001%,100%,10,46711281.25,1,"lucky-chip + opening-tell + soft-footsteps + split-signal"
"core.opening-tell|core.tie-insurance|heat.soft-footsteps|player.punto-strike|player.side-step",4,0.001%,100%,10,11876593.75,1,"opening-tell + tie-insurance + soft-footsteps + punto-strike"
"core.clean-hands|core.lucky-chip|core.opening-tell|economy.comp-points|player.side-step",4,0.001%,100%,10,26956906.25,1,"clean-hands + lucky-chip + opening-tell + comp-points"
"core.opening-tell|heat.soft-footsteps|player.side-step|vision.deep-read|vision.pattern-memory",4,0.001%,100%,10,17410281.25,1,"opening-tell + soft-footsteps + side-step + deep-read"
"core.clean-hands|core.lucky-chip|core.opening-tell|core.opening-tell|heat.soft-footsteps",4,0.001%,100%,10,16615875,1,"clean-hands + lucky-chip + opening-tell + opening-tell"
"core.opening-tell|core.player-surge|counter.false-read|heat.soft-footsteps|vision.banker-forecast",4,0.001%,100%,10,15421281.25,1,"opening-tell + player-surge + false-read + soft-footsteps"
"core.opening-tell|core.player-surge|counter.countertrend-plus|heat.soft-footsteps|vision.soft-peek",4,0.001%,100%,10,11256937.5,1,"opening-tell + player-surge + countertrend-plus + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|core.player-surge|heat.soft-footsteps",4,0.001%,100%,10,14275781.25,1,"clean-hands + opening-tell + opening-tell + player-surge"
"core.clean-hands|core.opening-tell|player.side-step|tie.tie-whisperer|vision.tie-forecast",4,0.001%,100%,10,18996781.25,1,"clean-hands + opening-tell + side-step + tie-whisperer"
"core.opening-tell|heat.soft-footsteps|player.side-step|vision.banker-forecast|vision.soft-peek",4,0.001%,100%,10,17042937.5,1,"opening-tell + soft-footsteps + side-step + banker-forecast"
"core.opening-tell|heat.soft-footsteps|player.side-step|vision.soft-peek|vision.tie-forecast",4,0.001%,100%,10,19530656.25,1,"opening-tell + soft-footsteps + side-step + soft-peek"
"banker.dealers-nod|core.opening-tell|counter.false-read|heat.soft-footsteps|vision.pattern-memory",4,0.001%,100%,10,23454406.25,1,"dealers-nod + opening-tell + false-read + soft-footsteps"
"core.opening-tell|heat.soft-footsteps|pair.pair-hunter|player.side-step|vision.dealer-glance",4,0.001%,100%,10,14949031.25,1,"opening-tell + soft-footsteps + pair-hunter + side-step"
"banker.banco-battery|core.clean-hands|core.opening-tell|counter.false-read|economy.interest-ledger",3,0.001%,100%,10,10498750,1,"banco-battery + clean-hands + opening-tell + false-read"
"banker.house-favorite|core.opening-tell|economy.interest-ledger|tie.tie-whisperer|vision.dealer-glance",3,0.001%,100%,10,6255500,1,"house-favorite + opening-tell + interest-ledger + tie-whisperer"
"core.opening-tell|economy.interest-ledger|heat.soft-footsteps|player.punto-strike|player.side-step",3,0.001%,100%,10,10672375,1,"opening-tell + interest-ledger + soft-footsteps + punto-strike"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.banker-forecast",3,0.001%,100%,10,14044791.667,1,"clean-hands + opening-tell + soft-footsteps + tie-whisperer"
"core.clean-hands|core.opening-tell|debt.debt-collector|heat.low-profile|player.punto-insurance",3,0.001%,100%,10,8641208.333,1,"clean-hands + opening-tell + debt-collector + low-profile"
"core.clean-hands|core.opening-tell|player.countertrend|tie.equalizer|tie.tie-whisperer",3,0.001%,100%,10,5288041.667,1,"clean-hands + opening-tell + countertrend + equalizer"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|tie.mirror-bet|tie.split-signal",3,0.001%,100%,10,21623091.667,1,"clean-hands + opening-tell + soft-footsteps + mirror-bet"
"banker.backroom-banco|core.clean-hands|core.opening-tell|core.tie-insurance|heat.soft-footsteps",3,0.001%,100%,10,12090191.667,1,"backroom-banco + clean-hands + opening-tell + tie-insurance"
"bet.flat-better|bet.small-ball|core.clean-hands|core.opening-tell|heat.soft-footsteps",3,0.001%,100%,10,12067041.667,1,"flat-better + small-ball + clean-hands + opening-tell"
"core.clean-hands|core.opening-tell|debt.debt-collector|heat.soft-footsteps|player.countertrend",3,0.001%,100%,10,9898166.667,1,"clean-hands + opening-tell + debt-collector + soft-footsteps"
"banker.banker-anchor|core.clean-hands|core.lucky-chip|core.opening-tell|counter.false-read",3,0.001%,100%,10,12175500,1,"banker-anchor + clean-hands + lucky-chip + opening-tell"
"core.clean-hands|core.opening-tell|core.tie-insurance|heat.soft-footsteps|loaded.marked-nine",3,0.001%,100%,10,8269333.333,1,"clean-hands + opening-tell + tie-insurance + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|vision.dealer-glance|vision.tie-forecast",3,0.001%,100%,10,17285500,1,"clean-hands + opening-tell + opening-tell + dealer-glance"
"core.opening-tell|core.tie-insurance|economy.interest-ledger|heat.soft-footsteps|tie.tie-whisperer",3,0.001%,100%,10,11640416.667,1,"opening-tell + tie-insurance + interest-ledger + soft-footsteps"
"banker.banco-battery|banker.banker-anchor|core.opening-tell|heat.soft-footsteps|player.countertrend",3,0.001%,100%,10,18388125,1,"banco-battery + banker-anchor + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|counter.false-read|player.countertrend|vision.face-down-count",3,0.001%,100%,10,27797208.333,1,"clean-hands + opening-tell + false-read + countertrend"
"core.clean-hands|core.opening-tell|core.tie-insurance|counter.false-read|player.punto-strike",3,0.001%,100%,10,15522979,1,"clean-hands + opening-tell + tie-insurance + false-read"
"core.clean-hands|core.opening-tell|counter.false-read|tie.tie-whisperer|vision.face-down-count",3,0.001%,100%,10,15055958.333,1,"clean-hands + opening-tell + false-read + tie-whisperer"
"core.lucky-chip|core.opening-tell|economy.comp-points|heat.soft-footsteps|player.side-step",3,0.001%,100%,10,14233666.667,1,"lucky-chip + opening-tell + comp-points + soft-footsteps"
"banker.dealers-nod|core.clean-hands|core.opening-tell|counter.false-read|vision.banker-forecast",3,0.001%,100%,10,15504041.667,1,"dealers-nod + clean-hands + opening-tell + false-read"
"core.clean-hands|core.opening-tell|core.opening-tell|heat.soft-footsteps|player.side-step",3,0.001%,100%,10,43116208.333,1,"clean-hands + opening-tell + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|player.side-step|vision.banker-forecast",3,0.001%,100%,10,14382375,1,"clean-hands + opening-tell + soft-footsteps + side-step"
"core.opening-tell|core.player-surge|counter.false-read|heat.soft-footsteps|natural.natural-read",3,0.001%,100%,10,11846041.667,1,"opening-tell + player-surge + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|pair.pair-hunter|player.punto-strike|vision.soft-peek",3,0.001%,100%,10,16583375,1,"clean-hands + opening-tell + pair-hunter + punto-strike"
