component_a,component_b,runs,completion_rate,avg_final_stage,avg_ending_bankroll,interaction_note
"boss.countermeasure","vision.banker-forecast",4,100%,10,11871843.75,"dominant practical pair candidate"
"counter.mirror-punish","sabotage.house-static",3,100%,10,4886350,"dominant practical pair candidate"
"control.control-burn","heat.soft-footsteps",3,100%,10,9405833.333,"dominant practical pair candidate"
"bet.insurance-marker","boss.final-table-pass",2,100%,10,4807187.5,"dominant practical pair candidate"
"banker.banco-battery","counter.turnaround-table",2,100%,10,4128312.5,"dominant practical pair candidate"
"heat.quiet-dealer","heat.surveillance-loop",2,100%,10,4437062.5,"dominant practical pair candidate"
"heat.backroom-pass","heat.surveillance-loop",2,100%,10,6055875,"dominant practical pair candidate"
"boss.final-table-pass","counter.mirror-punish",2,100%,10,4926625,"dominant practical pair candidate"
"counter.mirror-punish","loaded.add-nine",2,100%,10,7459187.5,"dominant practical pair candidate"
"counter.mirror-punish","loaded.eight-stack",2,100%,10,2264437.5,"dominant practical pair candidate"
"boss.countermeasure","loaded.eight-stack",2,100%,10,6787562.5,"dominant practical pair candidate"
"boss.countermeasure","debt.credit-line",2,100%,10,13837937.5,"dominant practical pair candidate"
"banker.loyal-customer","heat.quiet-dealer",2,100%,10,5897500,"dominant practical pair candidate"
"bet.insurance-marker","heat.surveillance-loop",2,100%,10,9923187.5,"dominant practical pair candidate"
"heat.camera-blindspot","heat.soft-footsteps",2,100%,10,10979525,"dominant practical pair candidate"
"banker.banker-anchor","heat.surveillance-loop",2,100%,10,3427687.5,"dominant practical pair candidate"
"debt.credit-line","tie.equalizer",2,100%,10,3967625,"dominant practical pair candidate"
"boss.countermeasure","vision.tie-forecast",2,100%,10,7468375,"dominant practical pair candidate"
"control.slipstream","heat.quiet-dealer",2,100%,10,19131562.5,"dominant practical pair candidate"
"bet.loss-limit","vision.deep-read",2,100%,10,21194937.5,"dominant practical pair candidate"
"control.card-delay","tie.split-signal",2,100%,10,19252937.5,"dominant practical pair candidate"
"heat.quiet-dealer","tie.split-signal",2,100%,10,9747812.5,"dominant practical pair candidate"
"tie.dead-heat","vision.deep-read",2,100%,10,13704750,"dominant practical pair candidate"
"heat.quiet-dealer","loaded.marked-nine",2,100%,10,17983437.5,"dominant practical pair candidate"
"economy.duplicate-finder","sabotage.table-chat",1,100%,10,6327125,"dominant practical pair candidate"
"heat.low-profile","natural.natural-comp",1,100%,10,2225500,"dominant practical pair candidate"
"economy.duplicate-finder","sabotage.house-static",1,100%,10,5193250,"dominant practical pair candidate"
"boss.final-table-pass","control.discard-favor",1,100%,10,4822125,"dominant practical pair candidate"
"economy.shop-regular","heat.backroom-pass",1,100%,10,2008950,"dominant practical pair candidate"
"natural.natural-comp","natural.snap-nine",1,100%,10,10285500,"dominant practical pair candidate"
"economy.duplicate-finder","loaded.add-nine",1,100%,10,3617500,"dominant practical pair candidate"
"bet.careful-hands","natural.snap-nine",1,100%,10,4070250,"dominant practical pair candidate"
"natural.snap-nine","tie.jackpot-discipline",1,100%,10,4070250,"dominant practical pair candidate"
"loaded.add-nine","tie.longshot-ledger",1,100%,10,5729950,"dominant practical pair candidate"
"control.dealer-slip","debt.last-dollar",1,100%,10,6545950,"dominant practical pair candidate"
"final.redemption-hand","tie.longshot-ledger",1,100%,10,3791312,"dominant practical pair candidate"
"heat.soft-footsteps","pair.twin-engine",1,100%,10,6943437,"dominant practical pair candidate"
"heat.quiet-dealer","loaded.nine-worship",1,100%,10,5770625,"dominant practical pair candidate"
"banker.house-favorite","counter.turnaround-table",1,100%,10,2280625,"dominant practical pair candidate"
"bet.parlay-slip","economy.chip-stipend",1,100%,10,5078500,"dominant practical pair candidate"
"player.player-tempo","tie.longshot-ledger",1,100%,10,13126475,"dominant practical pair candidate"
"bet.parlay-slip","heat.quiet-dealer",1,100%,10,2979000,"dominant practical pair candidate"
"debt.marker-chain","tie.longshot-ledger",1,100%,10,3550750,"dominant practical pair candidate"
"economy.sellback","heat.quiet-dealer",1,100%,10,5091750,"dominant practical pair candidate"
"counter.turnaround-table","natural.natural-bonus",1,100%,10,5976000,"dominant practical pair candidate"
"economy.coupon-book","heat.backroom-pass",1,100%,10,4078500,"dominant practical pair candidate"
"heat.quiet-dealer","natural.natural-bonus",1,100%,10,5782875,"dominant practical pair candidate"
"banker.dealers-nod","sabotage.opponent-tax",1,100%,10,5660625,"dominant practical pair candidate"
"core.clean-hands","economy.chip-stipend",1,100%,10,3424250,"dominant practical pair candidate"
"boss.countermeasure","tie.final-hand-tie",1,100%,10,9978625,"dominant practical pair candidate"
"core.clean-hands","tie.final-hand-tie",1,100%,10,9978625,"dominant practical pair candidate"
"core.tie-insurance","tie.final-hand-tie",1,100%,10,9978625,"dominant practical pair candidate"
"player.countertrend","tie.final-hand-tie",1,100%,10,9978625,"dominant practical pair candidate"
"counter.countertrend-plus","debt.credit-line",1,100%,10,7195750,"dominant practical pair candidate"
"debt.credit-line","sabotage.house-static",1,100%,10,7195750,"dominant practical pair candidate"
"player.player-tempo","sabotage.house-static",1,100%,10,6544250,"dominant practical pair candidate"
"control.control-burn","core.player-surge",1,100%,10,19411375,"dominant practical pair candidate"
"control.control-burn","tie.dead-heat",1,100%,10,19411375,"dominant practical pair candidate"
"banker.backroom-banco","economy.sellback",1,100%,10,1976975,"dominant practical pair candidate"
"core.clean-hands","player.break-pattern",1,100%,10,10504450,"dominant practical pair candidate"
"counter.countertrend-plus","player.break-pattern",1,100%,10,10504450,"dominant practical pair candidate"
"heat.soft-footsteps","player.break-pattern",1,100%,10,10504450,"dominant practical pair candidate"
"player.break-pattern","player.reversal-read",1,100%,10,10504450,"dominant practical pair candidate"
"core.tie-insurance","debt.credit-line",1,100%,10,3868500,"dominant practical pair candidate"
"debt.credit-line","debt.last-dollar",1,100%,10,3868500,"dominant practical pair candidate"
"economy.duplicate-finder","heat.low-profile",1,100%,10,3202000,"dominant practical pair candidate"
"control.control-burn","heat.quiet-dealer",1,100%,10,4352750,"dominant practical pair candidate"
"control.control-burn","tie.mirror-bet",1,100%,10,7213500,"dominant practical pair candidate"
"control.control-burn","vision.soft-peek",1,100%,10,7213500,"dominant practical pair candidate"
"boss.final-table-pass","heat.quiet-dealer",1,100%,10,5314000,"dominant practical pair candidate"
"debt.credit-line","heat.surveillance-loop",1,100%,10,10918875,"dominant practical pair candidate"
"core.opening-tell","heat.camera-blindspot",1,100%,10,9453000,"dominant practical pair candidate"
"debt.debt-collector","heat.camera-blindspot",1,100%,10,9453000,"dominant practical pair candidate"
"heat.camera-blindspot","heat.low-profile",1,100%,10,9453000,"dominant practical pair candidate"
"counter.mirror-punish","heat.backroom-pass",1,100%,10,9665250,"dominant practical pair candidate"
"boss.countermeasure","heat.camera-blindspot",1,100%,10,9449875,"dominant practical pair candidate"
"heat.camera-blindspot","sabotage.house-static",1,100%,10,9449875,"dominant practical pair candidate"
"economy.duplicate-finder","final.last-look",1,100%,10,8719375,"dominant practical pair candidate"
"boss.countermeasure","counter.turnaround-table",1,100%,10,4110625,"dominant practical pair candidate"
"bet.overbet-permit","boss.final-table-pass",1,100%,10,4659250,"dominant practical pair candidate"
"heat.surveillance-loop","natural.snap-nine",1,100%,10,5830375,"dominant practical pair candidate"
"boss.boss-bounty","heat.quiet-dealer",1,100%,10,6474074,"dominant practical pair candidate"
"loaded.eight-stack","sabotage.house-static",1,100%,10,14260875,"dominant practical pair candidate"
"player.punto-insurance","tie.longshot-ledger",1,100%,10,8245000,"dominant practical pair candidate"
"banker.loyal-customer","counter.turnaround-table",1,100%,10,11361524,"dominant practical pair candidate"
"banker.banco-battery","heat.surveillance-loop",1,100%,10,2431750,"dominant practical pair candidate"
"bet.careful-hands","counter.turnaround-table",1,100%,10,4902250,"dominant practical pair candidate"
"counter.mirror-punish","counter.turnaround-table",1,100%,10,4902250,"dominant practical pair candidate"
"heat.quiet-dealer","vision.tie-forecast",1,100%,10,6988324,"dominant practical pair candidate"
"banker.banco-battery","tie.tie-master",1,100%,10,6484250,"dominant practical pair candidate"
"core.clean-hands","tie.tie-master",1,100%,10,6484250,"dominant practical pair candidate"
"heat.low-profile","tie.tie-master",1,100%,10,6484250,"dominant practical pair candidate"
"sabotage.house-static","tie.tie-master",1,100%,10,6484250,"dominant practical pair candidate"
"final.redemption-hand","player.underdog-side",1,100%,10,2718025,"dominant practical pair candidate"
"bet.safe-marker","debt.credit-line",1,100%,10,4752375,"dominant practical pair candidate"
"bet.loss-limit","sabotage.house-static",1,100%,10,8416125,"dominant practical pair candidate"
"bet.loss-limit","sabotage.opponent-tax",1,100%,10,5924375,"dominant practical pair candidate"
"debt.credit-line","debt.emergency-marker",1,100%,10,16757000,"dominant practical pair candidate"
"debt.debt-collector","sabotage.table-chat",1,100%,10,3166375,"dominant practical pair candidate"
"heat.camera-blindspot","player.punto-strike",1,100%,10,12509175,"dominant practical pair candidate"
"heat.camera-blindspot","player.underdog-side",1,100%,10,12509175,"dominant practical pair candidate"
"core.player-surge","heat.pit-boss-bribe",1,100%,10,4564125,"dominant practical pair candidate"
"banker.banco-press","boss.final-table-pass",1,100%,10,4792250,"dominant practical pair candidate"
"debt.credit-line","economy.interest-ledger",1,100%,10,3182875,"dominant practical pair candidate"
"banker.backroom-banco","sabotage.opponent-tax",1,100%,10,4297220,"dominant practical pair candidate"
"banker.house-favorite","control.control-burn",1,100%,10,3453500,"dominant practical pair candidate"
"control.control-burn","economy.interest-ledger",1,100%,10,3453500,"dominant practical pair candidate"
"control.control-burn","heat.floor-distraction",1,100%,10,3453500,"dominant practical pair candidate"
"control.control-burn","counter.countertrend-plus",1,100%,10,4453375,"dominant practical pair candidate"
"banker.loyal-customer","sabotage.house-static",1,100%,10,2844500,"dominant practical pair candidate"
"heat.backroom-pass","tie.dead-heat",1,100%,10,7391750,"dominant practical pair candidate"
"final.redemption-hand","vision.tie-forecast",1,100%,10,14713625,"dominant practical pair candidate"
"player.side-step","tie.longshot-ledger",1,100%,10,6557375,"dominant practical pair candidate"
"bet.parlay-slip","vision.tie-forecast",1,100%,10,20468625,"dominant practical pair candidate"
"sabotage.house-static","tie.split-signal",1,100%,10,19144500,"dominant practical pair candidate"
"heat.surveillance-loop","vision.tie-forecast",1,100%,10,23672375,"dominant practical pair candidate"
"banker.loyal-customer","natural.natural-comp",1,100%,10,4102000,"dominant practical pair candidate"
"heat.backroom-pass","vision.pattern-memory",1,100%,10,10969750,"dominant practical pair candidate"
"control.shoe-pocket","vision.face-down-count",1,100%,10,11287000,"dominant practical pair candidate"
"bet.safe-marker","control.slipstream",1,100%,10,15051000,"dominant practical pair candidate"
"core.opening-tell","vision.boss-scout",1,100%,10,8848250,"dominant practical pair candidate"
"tie.tie-whisperer","vision.boss-scout",1,100%,10,8848250,"dominant practical pair candidate"
"vision.boss-scout","vision.soft-peek",1,100%,10,8848250,"dominant practical pair candidate"
"pair.twin-signal","tie.longshot-ledger",1,100%,10,12003125,"dominant practical pair candidate"
"loaded.nine-worship","vision.tie-forecast",1,100%,10,19436750,"dominant practical pair candidate"
"heat.quiet-dealer","vision.deep-read",1,100%,10,19612250,"dominant practical pair candidate"
"debt.debt-collector","vision.banker-forecast",1,100%,10,22233000,"dominant practical pair candidate"
"bet.insurance-marker","control.slipstream",1,100%,10,6040500,"dominant practical pair candidate"
"heat.soft-footsteps","vision.deep-read",90,91.111%,9.756,15338889.856,"dominant practical pair candidate"
"control.slipstream","core.clean-hands",89,88.764%,9.663,14692373.843,"dominant practical pair candidate"
"heat.soft-footsteps","vision.tie-forecast",115,88.696%,9.739,14699907.904,"dominant practical pair candidate"
"core.clean-hands","vision.deep-read",88,88.636%,9.67,14240020.864,"dominant practical pair candidate"
"core.clean-hands","vision.tie-forecast",104,80.769%,9.538,13452290.26,"dominant practical pair candidate"
"boss.countermeasure","tie.split-signal",10,80%,9.1,20753070,"dominant practical pair candidate"
"heat.soft-footsteps","vision.banker-forecast",237,79.747%,9.515,14698024.511,"dominant practical pair candidate"
"control.slipstream","heat.soft-footsteps",65,78.462%,9.615,13052266.538,"dominant practical pair candidate"
"heat.quiet-dealer","vision.soft-peek",8,75%,9.375,9140421.875,"dominant practical pair candidate"
"core.clean-hands","debt.credit-line",8,75%,9.875,6256765.625,"dominant practical pair candidate"
"banker.loyal-customer","player.underdog-side",4,75%,9.75,3853900,"dominant practical pair candidate"
"heat.quiet-dealer","vision.pattern-memory",4,75%,9.25,6449700,"dominant practical pair candidate"
"heat.soft-footsteps","loaded.eight-stack",4,75%,9.5,5122562.5,"dominant practical pair candidate"
"debt.last-dollar","vision.deep-read",4,75%,10,21469156.25,"dominant practical pair candidate"
"core.clean-hands","heat.camera-blindspot",4,75%,10,7987325,"dominant practical pair candidate"
"core.clean-hands","vision.banker-forecast",213,73.239%,9.329,11956207.854,"dominant practical pair candidate"
"heat.low-profile","vision.deep-read",11,72.727%,9,9500834.091,"dominant practical pair candidate"
"heat.soft-footsteps","tie.split-signal",579,71.675%,8.855,12071068.679,"dominant practical pair candidate"
"control.control-burn","core.clean-hands",7,71.429%,9.857,5815500,"dominant practical pair candidate"
"player.underdog-side","sabotage.house-static",7,71.429%,9.571,7370189.286,"dominant practical pair candidate"
"heat.quiet-dealer","tie.tie-whisperer",15,66.667%,9.067,8461650,"dominant practical pair candidate"
"core.clean-hands","counter.turnaround-table",6,66.667%,9.833,4145162.333,"dominant practical pair candidate"
"debt.credit-line","heat.soft-footsteps",6,66.667%,9.833,7019812.5,"dominant practical pair candidate"
"heat.floor-distraction","vision.banker-forecast",6,66.667%,9,6326445.667,"dominant practical pair candidate"
"economy.boss-bonus","final.redemption-hand",3,66.667%,8.667,1606500,"dominant practical pair candidate"
"natural.natural-bonus","natural.natural-comp",3,66.667%,9,6123083.333,"dominant practical pair candidate"
"economy.coupon-book","heat.quiet-dealer",3,66.667%,9,7435183.333,"dominant practical pair candidate"
"economy.duplicate-finder","tie.split-signal",3,66.667%,9.333,18580000,"dominant practical pair candidate"
"economy.duplicate-finder","tie.dead-heat",3,66.667%,9,2037958.333,"dominant practical pair candidate"
"bet.safe-marker","heat.surveillance-loop",3,66.667%,8.667,3816725,"dominant practical pair candidate"
"loaded.add-nine","vision.tie-forecast",3,66.667%,9.333,10457750,"dominant practical pair candidate"
"counter.reverse-count","heat.quiet-dealer",3,66.667%,9.333,6694641.667,"dominant practical pair candidate"
"counter.mirror-punish","heat.quiet-dealer",3,66.667%,10,5615949.667,"dominant practical pair candidate"
"control.control-burn","heat.low-profile",3,66.667%,10,4375208.333,"dominant practical pair candidate"
"boss.final-table-pass","heat.backroom-pass",3,66.667%,9,2880208.333,"dominant practical pair candidate"
"debt.debt-collector","heat.surveillance-loop",3,66.667%,9.667,5239333.333,"dominant practical pair candidate"
"heat.surveillance-loop","tie.split-signal",3,66.667%,10,15652541.667,"dominant practical pair candidate"
"banker.dealers-nod","heat.soft-footsteps",477,65.199%,8.47,10986857.019,"dominant practical pair candidate"
"core.clean-hands","loaded.eight-stack",11,63.636%,9.273,5208475,"dominant practical pair candidate"
"heat.quiet-dealer","player.side-step",8,62.5%,8.875,11829665.5,"dominant practical pair candidate"
"sabotage.house-static","vision.soft-peek",8,62.5%,9.375,8667840.625,"dominant practical pair candidate"
"bet.loss-limit","boss.countermeasure",8,62.5%,9.25,4349656.25,"dominant practical pair candidate"
"heat.low-profile","vision.banker-forecast",18,61.111%,8.889,11058409.667,"dominant practical pair candidate"
"heat.low-profile","tie.longshot-ledger",5,60%,9.2,6626170,"dominant practical pair candidate"
"economy.duplicate-finder","tie.tie-whisperer",5,60%,8.4,13834372.4,"dominant practical pair candidate"
"heat.floor-distraction","tie.split-signal",14,57.143%,8.357,11967294.643,"dominant practical pair candidate"
"final.last-look","heat.soft-footsteps",9,55.556%,8.444,6963758.333,"dominant practical pair candidate"
"heat.low-profile","vision.tie-forecast",9,55.556%,8.778,9355494.222,"dominant practical pair candidate"
"tie.longshot-ledger","vision.soft-peek",9,55.556%,9.556,6682611.111,"dominant practical pair candidate"
"counter.mirror-punish","debt.debt-collector",9,55.556%,9.667,3874222.222,"dominant practical pair candidate"
"sabotage.house-static","vision.dealer-glance",9,55.556%,9.111,8176377.778,"dominant practical pair candidate"
"sabotage.house-static","tie.tie-whisperer",9,55.556%,9.333,9868655.556,"dominant practical pair candidate"
"control.slipstream","vision.tie-forecast",9,55.556%,9.889,12940388.889,"dominant practical pair candidate"
"core.clean-hands","tie.split-signal",639,55.243%,7.966,9401507.912,"dominant practical pair candidate"
"vision.deep-read","vision.tie-forecast",13,53.846%,9.615,16055048.077,"observed co-occurrence"
"heat.soft-footsteps","vision.dealer-glance",2171,53.708%,7.53,9009309.761,"observed co-occurrence"
"counter.mirror-punish","tie.mirror-bet",15,53.333%,8.667,5388123.267,"observed co-occurrence"
"banker.dealers-nod","core.clean-hands",567,52.734%,7.808,8658869.429,"observed co-occurrence"
"banker.loyal-customer","heat.soft-footsteps",68,51.471%,8.647,7423365.647,"observed co-occurrence"
"heat.soft-footsteps","tie.tie-whisperer",2370,51.181%,7.365,8388656.541,"observed co-occurrence"
"core.opening-tell","sabotage.house-static",92,51.087%,8.674,5651654.413,"observed co-occurrence"
"heat.soft-footsteps","vision.soft-peek",3327,50.015%,7.228,8242862.441,"observed co-occurrence"
"counter.mirror-punish","heat.soft-footsteps",108,50%,8.787,7093276.102,"observed co-occurrence"
"heat.backroom-pass","heat.floor-distraction",14,50%,8.714,3300113.929,"observed co-occurrence"
"tie.dead-heat","tie.split-signal",14,50%,9.571,10448491.071,"observed co-occurrence"
"tie.longshot-ledger","tie.tie-whisperer",12,50%,9.25,12484822.917,"observed co-occurrence"
"banker.loyal-customer","player.punto-strike",10,50%,8.2,5897712.5,"observed co-occurrence"
"heat.quiet-dealer","player.underdog-side",10,50%,8.9,4143290,"observed co-occurrence"
"banker.loyal-customer","vision.banker-forecast",10,50%,9.1,10695225,"observed co-occurrence"
"core.player-surge","heat.surveillance-loop",8,50%,9.125,8440156.25,"observed co-occurrence"
"control.slipstream","heat.floor-distraction",6,50%,8.667,7663354.167,"observed co-occurrence"
"bet.loss-limit","player.reversal-read",6,50%,8.167,4611199.667,"observed co-occurrence"
"counter.mirror-punish","sabotage.opponent-tax",6,50%,9.5,5576750,"observed co-occurrence"
"banker.loyal-customer","counter.countertrend-plus",6,50%,8.833,6973400,"observed co-occurrence"
"boss.final-table-pass","vision.soft-peek",6,50%,9.5,10795604.167,"observed co-occurrence"
"loaded.eight-stack","player.countertrend",4,50%,8.75,2637312.5,"observed co-occurrence"
"boss.final-table-pass","tie.equalizer",4,50%,9.5,6110187.5,"observed co-occurrence"
"natural.snap-nine","vision.dealer-glance",4,50%,8.5,3324156.25,"observed co-occurrence"
"heat.floor-distraction","vision.deep-read",4,50%,8.5,6894593.75,"observed co-occurrence"
"heat.backroom-pass","vision.soft-peek",4,50%,9,13603250,"observed co-occurrence"
"bet.insurance-marker","heat.backroom-pass",4,50%,9,3593931,"observed co-occurrence"
"economy.chip-stipend","economy.interest-ledger",4,50%,10,3421562.5,"observed co-occurrence"
"bet.flat-better","tie.longshot-ledger",4,50%,10,4522337.5,"observed co-occurrence"
"counter.turnaround-table","heat.soft-footsteps",4,50%,10,4786056,"observed co-occurrence"
"bet.safe-marker","tie.dead-heat",4,50%,9.75,3828962.25,"observed co-occurrence"
"heat.quiet-dealer","tie.jackpot-discipline",4,50%,9.25,2707218.75,"observed co-occurrence"
"banker.backroom-banco","heat.backroom-pass",4,50%,9,4580018.75,"observed co-occurrence"
"banker.backroom-banco","sabotage.house-static",4,50%,8.75,4172962,"observed co-occurrence"
"control.soft-cut","vision.banker-forecast",4,50%,9.75,14837593.75,"observed co-occurrence"
"natural.natural-read","tie.dead-heat",4,50%,9.5,9897750,"observed co-occurrence"
"loaded.add-nine","vision.deep-read",4,50%,10,12490187.5,"observed co-occurrence"
"loaded.eight-stack","player.punto-insurance",2,50%,9,3622487.5,"observed co-occurrence"
"loaded.eight-stack","vision.face-down-count",2,50%,9,5027750,"observed co-occurrence"
"bet.small-ball","control.shoe-pocket",2,50%,8.5,2890350,"observed co-occurrence"
"control.shoe-pocket","natural.snap-nine",2,50%,9.5,4001287.5,"observed co-occurrence"
"natural.snap-nine","player.reversal-read",2,50%,8,2933350,"observed co-occurrence"
"banker.banker-anchor","tie.longshot-ledger",2,50%,8.5,4393187.5,"observed co-occurrence"
"economy.boss-bonus","pair.twin-signal",2,50%,8.5,1633500,"observed co-occurrence"
"banker.banker-anchor","final.last-look",2,50%,8,4634812.5,"observed co-occurrence"
"bet.loss-limit","loaded.add-nine",2,50%,8.5,3028412.5,"observed co-occurrence"
"final.last-look","player.reversal-read",2,50%,8,2390550,"observed co-occurrence"
"banker.dealers-nod","heat.backroom-pass",2,50%,8.5,9703062.5,"observed co-occurrence"
"bet.safe-marker","natural.natural-comp",2,50%,9,3486812.5,"observed co-occurrence"
"natural.natural-comp","sabotage.table-chat",2,50%,8.5,1159750,"observed co-occurrence"
"final.redemption-hand","heat.quiet-dealer",2,50%,8,4579125,"observed co-occurrence"
"bet.parlay-slip","pair.matchbook",2,50%,9,1009562.5,"observed co-occurrence"
"counter.mirror-punish","pair.pair-hunter",2,50%,10,6215549,"observed co-occurrence"
"economy.sellback","sabotage.house-static",2,50%,8.5,1581075,"observed co-occurrence"
"bet.parlay-slip","bet.press-edge",2,50%,8.5,964156,"observed co-occurrence"
"final.last-look","heat.low-profile",2,50%,9,3766250,"observed co-occurrence"
"final.last-look","loaded.add-nine",2,50%,8.5,3597625,"observed co-occurrence"
"economy.freeze-discount","sabotage.house-static",2,50%,9.5,3320212.5,"observed co-occurrence"
"heat.backroom-pass","tie.jackpot-discipline",2,50%,8.5,7836687.5,"observed co-occurrence"
"loaded.nine-worship","pair.twin-signal",2,50%,8.5,2423125,"observed co-occurrence"
"natural.natural-comp","vision.tie-forecast",2,50%,9.5,5694162.5,"observed co-occurrence"
"bet.insurance-marker","loaded.nine-worship",2,50%,9.5,3513812.5,"observed co-occurrence"
"player.punto-strike","tie.longshot-ledger",2,50%,8.5,1991812,"observed co-occurrence"
"economy.comp-points","pair.twin-engine",2,50%,9.5,3901156,"observed co-occurrence"
"pair.twin-engine","tie.equalizer",2,50%,10,4646406,"observed co-occurrence"
"banker.loyal-customer","sabotage.tempo-theft",2,50%,8,1351765,"observed co-occurrence"
"banker.house-favorite","economy.chip-stipend",2,50%,10,2881000,"observed co-occurrence"
"bet.small-ball","economy.chip-stipend",2,50%,10,2881000,"observed co-occurrence"
